gene	Yg	sigma_g
gene_1	-Inf	1
gene_66	-Inf	1
gene_69	-Inf	1
gene_75	-Inf	1
gene_79	-Inf	1
gene_195	-Inf	1
gene_200	-Inf	1
gene_206	-Inf	1
gene_248	-3.04022377945301	2.60276693069138
gene_270	-1.77428171079217	1.49263184170086
gene_299	-1.51559773209658	1.28758206855761
gene_357	-1.69848554030834	0.967909017636901
gene_430	-3.23545406644589	5.36342847127877
gene_491	-4.08449790029144	4.59137856821586
gene_519	-4.22190139261795	7.81714720952549
gene_535	-0.952038998810619	0.797439314575881
gene_638	-1.68025936653889	4.04277568561092
gene_719	-1.86164807347624	1.66947940501993
gene_729	-2.5824487535889	1.66508650466535
gene_751	-2.00284899864542	1.46819725675026
gene_815	-1.43752164049751	1.16632240893256
gene_841	-1.88400769289211	0.743710304559154
gene_869	-3.77136372318321	1.22188275911448
gene_884	-2.66960575404231	0.74358531909043
gene_995	-1.38939850398639	0.817757883246666
gene_1010	-2.16682629375862	4.53930782566606
gene_1107	-0.343249866970907	0.289921787509519
gene_1143	-0.17694359903205	0.504225736174044
gene_1166	-0.553992771177893	0.147617529989477
gene_1186	-2.102486577675	1.59559921795922
gene_1231	-1.90607656227136	0.838404652454885
gene_1259	0.502907548448472	0.408109914918977
gene_1268	-2.7020981822621	0.674806934580278
gene_1319	-1.29292336823443	0.507929092426988
gene_1323	-1.37059830924774	1.1295049674462
gene_1329	-1.49133991804501	0.554445802484368
gene_1399	-1.80830857345009	0.706326938527929
gene_1402	-2.8011966213717	0.31854834523994
gene_1635	-0.279975062694709	0.362309804282944
gene_1651	-3.52405893943786	0.725673803422343
gene_1712	-2.23670626183189	2.23508386595945
gene_1723	-1.84822666019467	1.06671749705889
gene_1735	-0.779933607698034	0.446375251821105
gene_1751	-2.40871522137085	2.35848821062155
gene_1801	-0.0250168654536629	0.264481408992266
gene_1831	-0.265635649654976	0.766806116985716
gene_1888	-3.72890297547467	6.00058900000012
gene_1908	-1.94682446448138	2.5134448385591
gene_1927	-1.77293911747874	2.10808490806815
gene_1943	-2.50475862687863	1.29138636312506
gene_1962	-0.887238230047558	1.40743603526089
gene_1965	-1.05347974306571	0.462290974670507
gene_1984	-2.43127868207515	0.777859034022409
gene_2037	-2.91457626274618	4.59065153133969
gene_2044	-2.25266288434894	1.38792116135001
gene_2045	-2.90149205022816	0.989431280783448
